ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10265750,HY453156,10-05-2015 11:00,008XX N RIDGEWAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1112,11,27,23,11,1151235,1905307,2015,10-12-2015 15:56,41.8960489,-87.71999347,"(41.896048904, -87.719993468)"
10262545,HY450188,10-05-2015 11:00,025XX S BLUE ISLAND AVE,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1034,10,25,31,08A,1161331,1886997,2015,10-12-2015 15:56,41.84560052,-87.68342202,"(41.845600518, -87.683422021)"
10262813,HY450641,10-05-2015 11:00,015XX E 69TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,332,3,5,43,7,1187723,1859215,2015,10-12-2015 15:56,41.76877594,-87.58745205,"(41.768775935, -87.587452045)"
10264368,HY452025,10-05-2015 11:00,055XX S EVERETT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,235,2,5,41,11,1188984,1868687,2015,10-12-2015 15:56,41.79473773,-87.58252676,"(41.79473773, -87.582526759)"
10262538,HY450308,10-05-2015 11:00,0000X E DELAWARE PL,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1833,18,42,8,6,1176344,1906629,2015,10-12-2015 15:56,41.89914695,-87.62773389,"(41.899146952, -87.627733893)"
10262546,HY450336,10-05-2015 11:00,021XX W SUMMERDALE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,2012,20,40,4,11,1161100,1935505,2015,10-12-2015 15:56,41.97871484,-87.6829198,"(41.978714837, -87.682919799)"
10262489,HY450210,10-05-2015 11:00,056XX S ROCKWELL ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,824,8,16,63,08A,1160001,1867170,2015,10-12-2015 15:56,41.79122034,-87.68884876,"(41.791220341, -87.688848758)"
10262469,HY450253,10-05-2015 10:49,0000X E 120TH PL,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,532,5,9,53,18,1178716,1825076,2015,10-12-2015 15:56,41.67530371,-87.62150166,"(41.675303713, -87.621501655)"
10262521,HY450200,10-05-2015 10:45,081XX S VINCENNES AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,622,6,21,44,18,1174708,1850883,2015,10-12-2015 15:56,41.74621174,-87.63540603,"(41.74621174, -87.635406033)"
10262326,HY450174,10-05-2015 10:45,039XX S COTTAGE GROVE AVE,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,214,2,4,36,6,1182257,1879204,2015,10-12-2015 15:56,41.82375578,-87.60686827,"(41.823755781, -87.606868273)"
